combo_id,oyez_identifier,n_test_rows,model_accuracy,petitioner_rate_full,n_full_rows,per_justice_baseline,lift_over_baseline
tfidf_unigram__random_forest,neil_gorsuch,87.0,0.6666666666666666,0.6566820276497696,434,0.6566820276497696,0.009984639016897057
tfidf_unigram__random_forest,ruth_bader_ginsburg,191.0,0.5654450261780105,0.5824847250509165,982,0.5824847250509165,-0.017039698872906017
tfidf_unigram__random_forest,samuel_a_alito_jr,231.0,0.6320346320346321,0.6038227628149435,1151,0.6038227628149435,0.028211869219688546
tfidf_unigram__random_forest,sandra_day_oconnor,3.0,0.6666666666666666,0.5555555555555556,18,0.5555555555555556,0.11111111111111105
tfidf_unigram__random_forest,sonia_sotomayor,188.0,0.5851063829787234,0.6004036326942482,991,0.6004036326942482,-0.015297249715524819
tfidf_unigram__random_forest,stephen_g_breyer,214.0,0.6261682242990654,0.6241860465116279,1075,0.6241860465116279,0.001982177787437478
tfidf_bigram__logreg,amy_coney_barrett,55.0,0.45454545454545453,0.640625,256,0.640625,-0.18607954545454547
tfidf_bigram__logreg,anthony_m_kennedy,167.0,0.6167664670658682,0.6706730769230769,832,0.6706730769230769,-0.05390660985720863
tfidf_bigram__logreg,antonin_scalia,138.0,0.5217391304347826,0.6355810616929699,697,0.6355810616929699,-0.11384193125818731
tfidf_bigram__logreg,brett_m_kavanaugh,78.0,0.6666666666666666,0.6729222520107239,373,0.6729222520107239,-0.006255585344057235
tfidf_bigram__logreg,clarence_thomas,58.0,0.5689655172413793,0.6048109965635738,291,0.6048109965635738,-0.03584547932219451
tfidf_bigram__logreg,david_h_souter,62.0,0.532258064516129,0.5940959409594095,271,0.5940959409594095,-0.06183787644328054
tfidf_bigram__logreg,elena_kagan,170.0,0.48823529411764705,0.6119909502262444,884,0.6119909502262444,-0.12375565610859734
tfidf_bigram__logreg,john_g_roberts_jr,255.0,0.5803921568627451,0.6627634660421545,1281,0.6627634660421545,-0.08237130917940938
tfidf_bigram__logreg,john_paul_stevens,74.0,0.5405405405405406,0.5542168674698795,332,0.5542168674698795,-0.013676326929338956
tfidf_bigram__logreg,ketanji_brown_jackson,36.0,0.4722222222222222,0.6257309941520468,171,0.6257309941520468,-0.1535087719298246
tfidf_bigram__logreg,neil_gorsuch,87.0,0.5287356321839081,0.6566820276497696,434,0.6566820276497696,-0.1279463954658615
tfidf_bigram__logreg,ruth_bader_ginsburg,191.0,0.44502617801047123,0.5824847250509165,982,0.5824847250509165,-0.1374585470404453
tfidf_bigram__logreg,samuel_a_alito_jr,231.0,0.5714285714285714,0.6038227628149435,1151,0.6038227628149435,-0.03239419138637212
tfidf_bigram__logreg,sandra_day_oconnor,3.0,0.6666666666666666,0.5555555555555556,18,0.5555555555555556,0.11111111111111105
tfidf_bigram__logreg,sonia_sotomayor,188.0,0.5372340425531915,0.6004036326942482,991,0.6004036326942482,-0.06316959014105672
tfidf_bigram__logreg,stephen_g_breyer,214.0,0.514018691588785,0.6241860465116279,1075,0.6241860465116279,-0.11016735492284291
tfidf_bigram__linear_svc,amy_coney_barrett,55.0,0.4909090909090909,0.640625,256,0.640625,-0.1497159090909091
tfidf_bigram__linear_svc,anthony_m_kennedy,167.0,0.6107784431137725,0.6706730769230769,832,0.6706730769230769,-0.059894633809304376
tfidf_bigram__linear_svc,antonin_scalia,138.0,0.5434782608695652,0.6355810616929699,697,0.6355810616929699,-0.09210280082340472
tfidf_bigram__linear_svc,brett_m_kavanaugh,78.0,0.6282051282051282,0.6729222520107239,373,0.6729222520107239,-0.04471712380559567
tfidf_bigram__linear_svc,clarence_thomas,58.0,0.5862068965517241,0.6048109965635738,291,0.6048109965635738,-0.018604100011849756
tfidf_bigram__linear_svc,david_h_souter,62.0,0.46774193548387094,0.5940959409594095,271,0.5940959409594095,-0.1263540054755386
tfidf_bigram__linear_svc,elena_kagan,170.0,0.5,0.6119909502262444,884,0.6119909502262444,-0.11199095022624439
tfidf_bigram__linear_svc,john_g_roberts_jr,255.0,0.5882352941176471,0.6627634660421545,1281,0.6627634660421545,-0.07452817192450745
tfidf_bigram__linear_svc,john_paul_stevens,74.0,0.527027027027027,0.5542168674698795,332,0.5542168674698795,-0.027189840442852553
tfidf_bigram__linear_svc,ketanji_brown_jackson,36.0,0.4722222222222222,0.6257309941520468,171,0.6257309941520468,-0.1535087719298246
tfidf_bigram__linear_svc,neil_gorsuch,87.0,0.5287356321839081,0.6566820276497696,434,0.6566820276497696,-0.1279463954658615
tfidf_bigram__linear_svc,ruth_bader_ginsburg,191.0,0.47643979057591623,0.5824847250509165,982,0.5824847250509165,-0.1060449344750003
tfidf_bigram__linear_svc,samuel_a_alito_jr,231.0,0.6017316017316018,0.6038227628149435,1151,0.6038227628149435,-0.0020911610833417305
tfidf_bigram__linear_svc,sandra_day_oconnor,3.0,0.6666666666666666,0.5555555555555556,18,0.5555555555555556,0.11111111111111105
tfidf_bigram__linear_svc,sonia_sotomayor,188.0,0.5531914893617021,0.6004036326942482,991,0.6004036326942482,-0.047212143332546086
tfidf_bigram__linear_svc,stephen_g_breyer,214.0,0.5093457943925234,0.6241860465116279,1075,0.6241860465116279,-0.11484025211910454
tfidf_bigram__random_forest,amy_coney_barrett,55.0,0.6181818181818182,0.640625,256,0.640625,-0.022443181818181834
tfidf_bigram__random_forest,anthony_m_kennedy,167.0,0.7005988023952096,0.6706730769230769,832,0.6706730769230769,0.02992572547213268
tfidf_bigram__random_forest,antonin_scalia,138.0,0.7101449275362319,0.6355810616929699,697,0.6355810616929699,0.07456386584326202
tfidf_bigram__random_forest,brett_m_kavanaugh,78.0,0.6410256410256411,0.6729222520107239,373,0.6729222520107239,-0.031896610985082785
tfidf_bigram__random_forest,clarence_thomas,58.0,0.5862068965517241,0.6048109965635738,291,0.6048109965635738,-0.018604100011849756
tfidf_bigram__random_forest,david_h_souter,62.0,0.5483870967741935,0.5940959409594095,271,0.5940959409594095,-0.045708844185216035
tfidf_bigram__random_forest,elena_kagan,170.0,0.5823529411764706,0.6119909502262444,884,0.6119909502262444,-0.02963800904977376
tfidf_bigram__random_forest,john_g_roberts_jr,255.0,0.6666666666666666,0.6627634660421545,1281,0.6627634660421545,0.0039032006245121043
tfidf_bigram__random_forest,john_paul_stevens,74.0,0.5540540540540541,0.5542168674698795,332,0.5542168674698795,-0.00016281341582546904
tfidf_bigram__random_forest,ketanji_brown_jackson,36.0,0.4722222222222222,0.6257309941520468,171,0.6257309941520468,-0.1535087719298246
tfidf_bigram__random_forest,neil_gorsuch,87.0,0.6666666666666666,0.6566820276497696,434,0.6566820276497696,0.009984639016897057
tfidf_bigram__random_forest,ruth_bader_ginsburg,191.0,0.581151832460733,0.5824847250509165,982,0.5824847250509165,-0.0013328925901835431
tfidf_bigram__random_forest,samuel_a_alito_jr,231.0,0.6147186147186147,0.6038227628149435,1151,0.6038227628149435,0.01089585190367115
tfidf_bigram__random_forest,sandra_day_oconnor,3.0,0.3333333333333333,0.5555555555555556,18,0.5555555555555556,-0.22222222222222227
tfidf_bigram__random_forest,sonia_sotomayor,188.0,0.5851063829787234,0.6004036326942482,991,0.6004036326942482,-0.015297249715524819
tfidf_bigram__random_forest,stephen_g_breyer,214.0,0.6355140186915887,0.6241860465116279,1075,0.6241860465116279,0.011327972179960843
